18545:17,616,302,866,1410,654,76,736,58,245
8477:17,508,226,40,616,866,736,302,2139,81
7:302,29,866,616,58,650,8,518,76,224
31151:17,302,58,29,654,8,616,138,70,564
18:17,654,76,302,8,518,1382,70,508,616
18561:17,302,654,616,58,76,1102,650,285,6
18571:17,654,76,58,650,616,29,866,70,1102
18616:302,58,650,70,654,899,65,81,226,931
8491:302,17,81,76,508,866,650,70,542,226
31158:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
19:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
18639:17,302,866,654,289,8,84,650,70,182
31159:2548,4755,224,1352,157,902,947,8069,429,225
8499:17,302,654,76,508,301,736,866,61,70
36:17,84,70,354,654,518,2162,1102,736,29
8500:17,81,226,508,361,238,3423,1535,780,2548
8510:17,58,654,302,616,76,8,84,6,564
18648:17,8,302,76,245,698,40,81,518,262
31175:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8513:17,76,8,70,84,650,302,654,226,508
37:17,616,654,8,302,15,542,76,32,58
18657:17,616,654,58,8,302,84,518,76,542
31225:224,101,899,182,1023,48,97,1187,398,749
18663:17,224,58,302,654,8,236,70,354,301
8517:302,616,650,564,508,61,236,394,1410,1109
18666:70,564,736,168,2265,4268,2292,1913,2414,802
18686:81,736,168,2265,698,1069,500,1913,2414,840
8530:17,302,654,58,84,76,650,564,736,301
31236:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
41:17,302,616,654,58,76,564,101,354,542
18690:17,616,2548,568,546,5975,294,2967,2338,1397
8531:302,58,76,8,29,301,650,866,564,289
42:17,302,76,518,654,58,84,1102,650,564
8534:17,302,70,76,226,736,239,224,301,361
31239:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
18697:698,378,931,2548,225,710,495,1208,3704,6503
43:17,76,302,866,8,29,2139,81,654,226
8536:17,84,1119,564,225,787,409,1023,394,378
8537:17,363,76,8,58,84,654,616,301,302
31267:17,518,84,654,58,302,1102,736,8,1382
18698:17,787,1109,931,103,2193,813,495,1131,908
8552:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8569:76,17,1352,1527,70,226,508,4825,10041,189
31273:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
18707:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
44:302,616,76,8,84,542,15,564,861,518
18709:17,564,76,8,40,81,70,2512,508,262
45:76,347,564,226,669,262,40,398,719,225
31274:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8578:17,616,84,76,654,302,8,58,518,354
31275:654,84,70,866,58,29,8,650,138,736
18711:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
8581:17,302,654,616,58,76,236,564,29,650
8582:650,8,736,1102,866,285,224,354,226,518
8600:17,654,84,8,302,70,564,931,1102,1119
31288:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
46:302,76,616,8,58,354,564,508,650,245
18712:302,8,70,354,226,508,138,101,1119,1382
31293:17,58,76,302,616,101,289,8,654,238
8603:17,947,84,302,654,8,866,70,226,363
8635:17,866,76,1102,2139,84,70,224,226,736
8636:17,302,138,866,654,616,698,58,84,361
18713:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
59:654,616,58,76,564,29,354,650,15,1102
31321:17,76,238,698,2139,394,1410,901,14237,1403
18766:654,58,29,899,84,76,1102,138,616,70
60:302,58,76,84,616,29,8,650,1102,518
18810:17,302,301,8,650,138,866,84,76,29
8637:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
18815:17,76,866,226,508,327,29,2139,168,1382
8644:17,650,654,616,58,238,8,327,866,1382
31345:17,654,8,81,226,301,363,1405,1550,859
18823:17,302,654,84,224,138,1102,736,58,29
8651:84,2162,70,1119,302,875,654,616,736,245
8660:17,58,76,84,616,866,650,1102,138,285
31348:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
18827:76,17,81,302,564,40,226,2139,616,698
18836:17,302,262,81,431,101,899,236,273,378
8670:17,654,58,81,76,302,616,650,70,542
69:302,654,58,76,650,564,508,61,6,29
18845:17,302,616,654,15,58,650,285,224,76
8681:302,654,84,76,8,866,736,29,354,518
31352:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
70:76,302,654,354,84,650,58,29,138,616
8692:17,76,8,70,564,866,84,698,138,1023
18852:17,70,654,8,866,84,81,518,354,226
31355:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
18885:17,302,81,301,84,508,70,1462,654,224
8711:495,2593,16191,22484,26528,4189,21627,24378,2945,34579
31356:17,302,654,616,29,58,76,866,542,354
